Typ,Placering,Position,
Buckla,Annan del,,
Buckla,Bagagelucka,Insida,
Buckla,Bagagelucka,Utsida,
Buckla,Däck,Höger bak,
Buckla,Däck,Höger fram,
Buckla,Däck,Vänster bak,
Buckla,Däck,Vänster fram,
Buckla,Dörr utsida,Höger bak,
Buckla,Dörr utsida,Höger fram,
Buckla,Dörr utsida,Vänster bak,
Buckla,Dörr utsida,Vänster fram,
Buckla,Grill,,
Buckla,Motorhuv,,
Buckla,Skärm,Höger bak,
Buckla,Skärm,Höger fram,
Buckla,Skärm,Vänster bak,
Buckla,Skärm,Vänster fram,
Buckla,Tak,,
Buckla,Tröskel,Höger,
Buckla,Tröskel,Vänster,
Däckskada,Däck,Höger bak,
Däckskada,Däck,Höger fram,
Däckskada,Däck,Vänster bak,
Däckskada,Däck,Vänster fram,
Däckskada sommarhjul,Däck,Höger bak,
Däckskada sommarhjul,Däck,Höger fram,
Däckskada sommarhjul,Däck,Vänster bak,
Däckskada sommarhjul,Däck,Vänster fram,
Däckskada vinterhjul,Däck,Höger bak,
Däckskada vinterhjul,Däck,Höger fram,
Däckskada vinterhjul,Däck,Vänster bak,
Däckskada vinterhjul,Däck,Vänster fram,
Fälgskada sommarhjul,Fälg,Höger bak,
Fälgskada sommarhjul,Fälg,Höger fram,
Fälgskada sommarhjul,Fälg,Vänster bak,
Fälgskada sommarhjul,Fälg,Vänster fram,
Fälgskada vinterhjul,Fälg,Höger bak,
Fälgskada vinterhjul,Fälg,Höger fram,
Fälgskada vinterhjul,Fälg,Vänster bak,
Fälgskada vinterhjul,Fälg,Vänster fram,
Feltankning,,,
Höjdledsskada,,,
Intryck,Annan del,,
Intryck,Bagagelucka,Insida,
Intryck,Bagagelucka,Utsida,
Intryck,Dörr insida,Höger bak,
Intryck,Dörr insida,Höger fram,
Intryck,Dörr insida,Vänster bak,
Intryck,Dörr insida,Vänster fram,
Intryck,Dörr utsida,Höger bak,
Intryck,Dörr utsida,Höger fram,
Intryck,Dörr utsida,Vänster bak,
Intryck,Dörr utsida,Vänster fram,
Intryck,Front läpp,Höger,
Intryck,Front läpp,Mitten,
Intryck,Front läpp,Vänster,
Intryck,Grill,,
Invändig skada,Annan del,,
Invändig skada,Bagagelucka,Insida,
Invändig skada,Panel (transportbil),,
Invändig skada,Dörr insida,Höger bak,
Invändig skada,Dörr insida,Höger fram,
Invändig skada,Dörr insida,Vänster bak,
Invändig skada,Dörr insida,Vänster fram,
Invändig skada,Tak,,
Jack,Annan del,,
Jack,Bagagelucka,Insida,
Jack,Bagagelucka,Utsida,
Jack,Dörr insida,Höger bak,
Jack,Dörr insida,Höger fram,
Jack,Dörr insida,Vänster bak,
Jack,Dörr insida,Vänster fram,
Jack,Dörr utsida,Höger bak,
Jack,Dörr utsida,Höger fram,
Jack,Dörr utsida,Vänster bak,
Jack,Dörr utsida,Vänster fram,
Jack,Front läpp,Höger,
Jack,Front läpp,Mitten,
Jack,Front läpp,Vänster,
Jack,Motorhuv,Utsida,
Jack,Skärm,Höger bak,
